,name,mileage,year,gearbox,transmission,horsepower,fuel,price
0,Ford Ecosport Trend,131 000 km,2016,Automatique,Traction,6 cv,Essence,55000.0
1,Peugeot Partner,60 000 km,2011,Manuelle,Traction,6 cv,Diesel,23000.0
2,Hyundai i30 Fastback,65 035 km,2023,Automatique,Traction,7 cv,Essence,75000.0
3,Mercedes-Benz Classe C AMG +,87 000 km,2017,Automatique,Propulsion,8 cv,Essence,95000.0
4,Geely GX3,41 000 km,2021,Manuelle,Traction,6 cv,Essence,51000.0
5,Seat Ibiza Reference,135 000 km,2017,Manuelle,Traction,4 cv,Essence,35000.0
6,Hyundai Grand i10 GLS,86 000 km,2023,Manuelle,Traction,5 cv,Essence,42500.0
7,Hyundai i20 High Grade,80 000 km,2023,Automatique,Traction,5 cv,Essence,62000.0
8,Mercedes-Benz AMG GT AMG,45 000 km,2020,Automatique,Intégrale,26 cv,Hybride,430000.0
9,Volkswagen Tiguan R-Line,103 000 km,2018,Automatique,Traction,8 cv,Essence,119000.0
10,Volkswagen Golf 7 Style Plus,132 000 km,2020,Automatique,Traction,6 cv,Essence,67000.0
11,BMW Série 1 Sport Line,180 000 km,2013,Manuelle,Propulsion,7 cv,Essence,42000.0
12,Toyota Corolla Active,90 000 km,2021,Manuelle,Traction,6 cv,Essence,62000.0
13,Peugeot 2008,8 760 km,2024,Manuelle,Traction,5 cv,Essence,67000.0
14,Mercedes-Benz Classe C coupé AMG,140 000 km,2017,Automatique,Propulsion,8 cv,Essence,105000.0
15,Fiat Grande Punto Easy,205 000 km,2013,Automatique,Traction,4 cv,Essence,18500.0
16,Volkswagen Golf 8 GTE,82 000 km,2021,Automatique,Traction,8 cv,Hybride,91000.0
17,Mahindra KUV 100 K8,32 000 km,2024,Manuelle,Traction,5 cv,Essence,35000.0
18,KIA Rio Berline,110 000 km,2021,Automatique,Traction,6 cv,Essence,49000.0
19,Seat Ateca Xperience,180 000 km,2020,Automatique,Traction,8 cv,Essence,70000.0
20,Volkswagen Golf 7,170 000 km,2018,Automatique,Traction,6 cv,Diesel,72000.0
21,Volkswagen Golf 8 Life,74 000 km,2023,Automatique,Traction,8 cv,Essence,95000.0
22,Mercedes-Benz Classe C AMG,105 000 km,2022,Automatique,Propulsion,9 cv,Hybride,145000.0
23,BMW Série 3,100 000 km,2015,Automatique,Intégrale,11 cv,Essence,69000.0
24,Fiat Linea Comfort,203 000 km,2011,Manuelle,Traction,6 cv,Essence,28000.0
25,DFSK Glory 500 MT,8 000 km,2025,Manuelle,Traction,7 cv,Essence,65000.0
26,Toyota Corolla Dynamic,84 000 km,2021,Automatique,Traction,6 cv,Essence,65000.0
27,Audi A4 Design,220 000 km,2016,Automatique,Traction,8 cv,Essence,65000.0
28,GWM Haval H6,85 000 km,2022,Automatique,Traction,8 cv,Essence,87000.0
29,KIA Sportage GT-Line,170 000 km,2018,Automatique,Traction,8 cv,Diesel,82000.0
30,GWM Haval Jolion Standard,42 000 km,2023,Automatique,Traction,9 cv,Essence,73500.0
31,KIA Rio 5p GT-Line,48 000 km,2022,Manuelle,Intégrale,5 cv,Essence,63000.0
32,MG 4 Luxury+,44 000 km,2024,Automatique,Propulsion,5 cv,Electrique,70000.0
33,BMW Série 5 Luxury Line,308 000 km,2019,Automatique,Propulsion,10 cv,Essence,88000.0
34,GWM Haval H6,70 420 km,2023,Automatique,Traction,8 cv,Essence,90000.0
35,Seat Arona FR,120 000 km,2019,Automatique,Traction,6 cv,Essence,71000.0
36,Cupra Formentor Exclusive,75 000 km,2023,Automatique,Traction,11 cv,Essence,110000.0
37,Mercedes-Benz CLE Coupé AMG +,30 000 km,2024,Automatique,Propulsion,12 cv,Essence,222000.0
38,Nissan Juke Tekna,44 000 km,2024,Automatique,Traction,6 cv,Essence,75000.0
39,Hyundai i20 GLS,96 000 km,2022,Manuelle,Traction,5 cv,Essence,49000.0
40,Suzuki Jimny 3 portes GL,88 000 km,2022,Automatique,Intégrale,6 cv,Essence,75000.0
41,BMW X3 Pack Sport M Limited Edition,94 000 km,2020,Automatique,Propulsion,8 cv,Diesel,145000.0
42,Volvo XC90,58 000 km,2023,Automatique,Traction,19 cv,Essence,235000.0
43,GWM Haval H6 Luxury,175 000 km,2020,Automatique,Traction,9 cv,Essence,58000.0
44,Mercedes-Benz EQS Berline,53 000 km,2022,Automatique,Propulsion,8 cv,Electrique,260000.0
45,Jeep Wrangler,58 000 km,2022,Automatique,Traction,19 cv,Essence,195000.0
46,Toyota Land Cruiser,175 000 km,2011,Automatique,Intégrale,22 cv,Essence,245000.0
47,BMW X5 Pack M,226 000 km,2016,Automatique,Traction,13 cv,Diesel,114000.0
48,Mercedes-Benz EQA,46 000 km,2022,Automatique,Traction,6 cv,Electrique,141000.0
49,Toyota Prado,172 000 km,2013,Automatique,Intégrale,15 cv,Essence,148000.0
50,Mercedes-Benz GLC,76 000 km,2020,Automatique,Traction,10 cv,Essence,155000.0
51,Land Rover Range Rover Sport Autobiography,80 000 km,2015,Automatique,Intégrale,43 cv,Essence,185000.0
52,Porsche Macan,41 000 km,2019,Automatique,Intégrale,29 cv,Essence,260000.0
53,BMW Série 5 Pack M,115 000 km,2020,Automatique,Propulsion,10 cv,Essence,125000.0
54,Toyota Prado,290 000 km,2005,Automatique,Propulsion,12 cv,Diesel,115000.0
55,Audi E-tron,73 000 km,2020,Automatique,Traction,12 cv,Electrique,95000.0
56,Mercedes-Benz Classe E AMG,171 000 km,2017,Automatique,Propulsion,9 cv,Essence,105000.0
57,Land Rover Discovery Sport R-Dynamic S,61 000 km,2021,Automatique,Intégrale,9 cv,Diesel,178000.0
58,Mercedes-Benz Classe E,35 000 km,2024,Automatique,Traction,11 cv,Diesel,350000.0
59,BMW iX1,1 600 km,2026,Automatique,Intégrale,7 cv,Electrique,168000.0
60,Mercedes-Benz Classe C,88 000 km,2014,Automatique,Traction,10 cv,Essence,88000.0
61,BMW i4,69 000 km,2022,Automatique,Traction,7 cv,Electrique,150000.0
62,Mercedes-Benz GLE Coupé,90 000 km,2022,Automatique,Intégrale,11 cv,Diesel,265000.0
63,Ford Mustang,36 000 km,2016,Automatique,Traction,33 cv,Essence,208000.0
64,Mercedes-Benz Classe C AMG,114 000 km,2022,Automatique,Propulsion,9 cv,Hybride,148000.0
65,Mercedes-Benz Classe C,91 000 km,2014,Automatique,Traction,8 cv,Essence,95000.0
66,Ssangyong Actyon Sports,154 000 km,2019,Manuelle,Propulsion,7 cv,Diesel,55000.0
67,Mercedes-Benz Classe A,22 000 km,2024,Automatique,Traction,8 cv,Hybride,163000.0
68,BMW i4,69 000 km,2022,Automatique,Traction,7 cv,Electrique,150000.0
69,BMW iX1,1 600 km,2026,Automatique,Traction,7 cv,Electrique,168000.0
70,Mercedes-Benz Classe A,22 000 km,2025,Automatique,Traction,8 cv,Hybride,163000.0
